time;ECU ID;Asc ECU ID;Tag;Message ID;Message Size;Stream ID;UID;Message;Data
2.7378785924117626;SecMod;ECU1;MonitorTags.CP_SEC_DECRYPTED_OUTER_REG_MESSAGE;2;16;-1;d8b2eeba3034445ba7013d6815039af5;<components.security.encryption.encryption_tools.HashedMessage object at 0x000000000547C208>;[]
3.1488892174117624;SecMod;ECU1;MonitorTags.CP_SEC_VALIDATED_ECU_CERTIFICATE;2;64.0;-1;d8b2eeba3034445ba7013d6815039af5;<components.security.certification.certificates.EcuCertificate object at 0x0000000005452AC8>;[]
3.1490972174117626;SecMod;ECU1;MonitorTags.CP_SEC_CREATED_CMP_HASH_REG_MSG;2;-1;-1;d8b2eeba3034445ba7013d6815039af5;HashedMessage;[]
3.1490972174117626;SecMod;ECU1;MonitorTags.CP_SEC_COMPARED_HASH_REG_MSG;2;64.0;-1;d8b2eeba3034445ba7013d6815039af5;<components.security.certification.certificates.EcuCertificate object at 0x0000000005452AC8>;[]
2.1029752527058805;ECU0;SecMod;MonitorTags.CP_ECU_RECEIVE_CONF_MESSAGE;3;112;-1;ab6759a5bc1e45cea36eb61fdf7717ae;<components.security.encryption.encryption_tools.EncryptedMessage object at 0x000000000547C828>;[]
2.1041206277058806;ECU0;SecMod;MonitorTags.CP_ECU_DECRYPTED_CONF_MESSAGE;3;100;-1;ab6759a5bc1e45cea36eb61fdf7717ae;<components.base.message.abst_bus_message.SegData object at 0x00000000054814E0>;[]
2.153;ECU0;SecMod;MonitorTags.CP_ECU_START_CREATE_REQ_MESSAGE;5;100;21;968b30aa-856d-4aa1-862e-b1e751e6cf48;['ECU0', 21, 0.3407711736584089, 2.153];[]
2.154119875;ECU0;SecMod;MonitorTags.CP_ECU_ENCRYPTED_REQ_MESSAGE;5;112;21;968b30aa856d4aa1862eb1e751e6cf48;['ECU0', <components.security.encryption.encryption_tools.EncryptedMessage object at 0x000000000547CD30>];[]
2.222;ECU0;SecMod;MonitorTags.CP_ECU_START_CREATE_REQ_MESSAGE;5;100;24;e56c636a-d058-4100-a7c3-8065adca6fbc;['ECU0', 24, 0.9601047077543876, 2.222];[]
2.223119875;ECU0;SecMod;MonitorTags.CP_ECU_ENCRYPTED_REQ_MESSAGE;5;112;24;e56c636ad0584100a7c38065adca6fbc;['ECU0', <components.security.encryption.encryption_tools.EncryptedMessage object at 0x0000000005481940>];[]
