Information Type,Time,Bus ID,Monitor Tag/ Datarate,Unique Message ID
BUS MESSAGES,0.0016877499999999996,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0018565249999999995,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0018565249999999995,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0020252999999999994,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0020252999999999994,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0021940749999999993,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0021940749999999993,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0023628499999999992,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.0023628499999999992,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.002531624999999999,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.002531624999999999,CAN_0,MonitorTags.CB_PROCESSING_MESSAGE,00000000000000000000000000000000000000000000000000000000
BUS MESSAGES,0.002700399999999999,CAN_0,MonitorTags.CB_DONE_PROCESSING_MESSAGE,00000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.000168775,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>
BUS MESSAGES,2.0003375500000002,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,<components.security.certification.certificates.EcuCertificate object at 0x0000000005593048>
BUS MESSAGES,2.0003375500000002,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0005063250000004,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0005063250000004,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0006751000000005,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0006751000000005,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0008438750000006,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0008438750000006,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0010126500000007,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0010126500000007,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001181425000001,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001181425000001,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001350200000001,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001350200000001,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001518975000001,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001518975000001,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001687750000001,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.001687750000001,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0018565250000013,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0018565250000013,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0020253000000015,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0020253000000015,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0021940750000016,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0021940750000016,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0023628500000017,CAN_1,MonitorTags.CB_DONE_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
BUS MESSAGES,2.0023628500000017,CAN_1,MonitorTags.CB_PROCESSING_MESSAGE,000000000000000000000000000000000000000000000000000000000000000
